"filename", "language", "C#", "ASP.NET Razor", "PostCSS", "JSON", "XML", "JavaScript", "Markdown", "MS SQL", "comment", "blank", "total"
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Enums/SensorType.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Exceptions/NotFoundException.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Extensions/RepositoryExtensions.cs", "C#", 29, 0, 0, 0, 0, 0, 0, 0, 8, 9, 46
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Greenhouse_API.csproj", "XML", 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Interfaces/ICrdService.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Interfaces/ICrudService.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Interfaces/IFertilizerService.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Interfaces/IObservationService.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Interfaces/IPlantHumidityRecordService.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Interfaces/IPlantSensorAlertService.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Interfaces/IPlantService.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Interfaces/IRepository.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 5, 3, 23
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Interfaces/ISensorService.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Interfaces/ISoilHumidityCategoryService.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Interfaces/ISpecimenService.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Interfaces/IWateringService.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Interfaces/IZoneCategoryService.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Interfaces/IZonePressureRecordService.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Interfaces/IZoneRecordService.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Interfaces/IZoneSensorAlertService.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Interfaces/IZoneService.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Migrations/20251227184904_InitialCreate.Designer.cs", "C#", 461, 0, 0, 0, 0, 0, 0, 0, 2, 180, 643
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Migrations/20251227184904_InitialCreate.cs", "C#", 434, 0, 0, 0, 0, 0, 0, 0, 3, 47, 484
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Migrations/20251227220750_secondMigration.Designer.cs", "C#", 461, 0, 0, 0, 0, 0, 0, 0, 2, 180, 643
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Migrations/20251227220750_secondMigration.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 3, 6, 23
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Migrations/GreenHouseDbContextModelSnapshot.cs", "C#", 459, 0, 0, 0, 0, 0, 0, 0, 1, 180, 640
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Models/Fertilizer.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Models/Observation.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Models/Plant.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 0, 0, 19, 42
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Models/PlantHumidityRecord.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Models/PlantSensorAlert.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Models/Sensor.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 0, 0, 11, 29
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Models/SoilHumidityCategory.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Models/Specimen.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Models/Watering.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Models/Zone.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 0, 12, 28
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Models/ZoneCategory.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 0, 0, 14, 32
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Models/ZonePressureRecord.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Models/ZoneRecord.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 0, 11, 27
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Models/ZoneSensorAlert.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Program.cs", "C#", 61, 0, 0, 0, 0, 0, 0, 0, 5, 16, 82
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Properties/launchSettings.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Services/FertilizerService.cs", "C#", 112, 0, 0, 0, 0, 0, 0, 0, 0, 18, 130
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Services/ObservationService.cs", "C#", 116, 0, 0, 0, 0, 0, 0, 0, 0, 20, 136
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Services/PlantHumidityRecordService.cs", "C#", 123, 0, 0, 0, 0, 0, 0, 0, 0, 20, 143
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Services/PlantSensorAlertService.cs", "C#", 88, 0, 0, 0, 0, 0, 0, 0, 0, 13, 101
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Services/PlantService.cs", "C#", 166, 0, 0, 0, 0, 0, 0, 0, 0, 22, 188
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Services/SensorService.cs", "C#", 110, 0, 0, 0, 0, 0, 0, 0, 0, 16, 126
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Services/SoilHumidityCategoryService.cs", "C#", 102, 0, 0, 0, 0, 0, 0, 0, 0, 13, 115
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Services/SpecimenService.cs", "C#", 110, 0, 0, 0, 0, 0, 0, 0, 0, 17, 127
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Services/WateringService.cs", "C#", 122, 0, 0, 0, 0, 0, 0, 0, 0, 19, 141
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Services/ZoneCategoryService.cs", "C#", 138, 0, 0, 0, 0, 0, 0, 0, 0, 14, 152
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Services/ZonePressureRecordService.cs", "C#", 115, 0, 0, 0, 0, 0, 0, 0, 0, 16, 131
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Services/ZoneRecordService.cs", "C#", 152, 0, 0, 0, 0, 0, 0, 0, 0, 24, 176
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Services/ZoneSensorAlertService.cs", "C#", 86, 0, 0, 0, 0, 0, 0, 0, 0, 11, 97
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/Services/ZoneService.cs", "C#", 88, 0, 0, 0, 0, 0, 0, 0, 0, 12, 100
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_API/appsettings.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_Data_MVC/Controllers/HomeController.cs", "C#", 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_Data_MVC/Controllers/ObservationController.cs", "C#", 72, 0, 0, 0, 0, 0, 0, 0, 4, 15, 91
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_Data_MVC/Controllers/PlantHumidityRecordController.cs", "C#", 75, 0, 0, 0, 0, 0, 0, 0, 4, 13, 92
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_Data_MVC/Controllers/PlantSensorAlertController.cs", "C#", 75, 0, 0, 0, 0, 0, 0, 0, 4, 13, 92
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_Data_MVC/Dtos/ObservationDto.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_Data_MVC/Dtos/PlantDto.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_Data_MVC/Dtos/PlantHumidityRecordDto.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_Data_MVC/Dtos/PlantSensorAlertDto.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_Data_MVC/Dtos/ZoneDto.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_Data_MVC/Dtos/ZonePressureRecordDto.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_Data_MVC/Dtos/ZoneRecordDto.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_Data_MVC/Dtos/ZoneSensorAlertDto.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_Data_MVC/Enums/AlertReason.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/alexbelanger-lemay/Desktop/Green_House/Smart_Greenhouse/Greenhouse_Data_MVC/Enums/ObservationRating.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
